Food_code,Seq_num,Additional_food_description,Start_date,End_date
11513384,1,nonfat milk,2017-01-01,2018-12-31
11513384,2,"regular, reduced, or less sugar",2017-01-01,2018-12-31
11513384,3,25% less sugar,2017-01-01,2018-12-31
11513384,4,skim,2017-01-01,2018-12-31
11513385,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11513390,1,sugar free mix,2017-01-01,2018-12-31
11513391,1,sugar free mix,2017-01-01,2018-12-31
11513392,1,sugar free mix,2017-01-01,2018-12-31
11513392,2,2% fat,2017-01-01,2018-12-31
11513393,1,sugar free mix,2017-01-01,2018-12-31
11513393,2,1% fat,2017-01-01,2018-12-31
11513394,1,nonfat milk,2017-01-01,2018-12-31
11513394,2,sugar free mix,2017-01-01,2018-12-31
11513394,3,skim,2017-01-01,2018-12-31
11513395,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11513400,1,Nesquik,2017-01-01,2018-12-31
11513400,2,Hershey's,2017-01-01,2018-12-31
11513500,1,Nesquik,2017-01-01,2018-12-31
11513500,2,Hershey's,2017-01-01,2018-12-31
11513550,2,Nesquik,2017-01-01,2018-12-31
11513550,3,Hershey's,2017-01-01,2018-12-31
11513550,4,2% fat,2017-01-01,2018-12-31
11513600,2,Nesquik,2017-01-01,2018-12-31
11513600,3,Hershey's,2017-01-01,2018-12-31
11513600,4,1% fat,2017-01-01,2018-12-31
11513700,1,nonfat milk,2017-01-01,2018-12-31
11513700,2,Nesquik,2017-01-01,2018-12-31
11513700,3,Hershey's,2017-01-01,2018-12-31
11513700,4,skim,2017-01-01,2018-12-31
11513750,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11513800,1,Hershey's Lite,2017-01-01,2018-12-31
11513801,1,Hershey's Lite,2017-01-01,2018-12-31
11513802,1,Hershey's Lite,2017-01-01,2018-12-31
11513802,2,2% fat,2017-01-01,2018-12-31
11513803,1,Hershey's Lite,2017-01-01,2018-12-31
11513803,2,1% fat,2017-01-01,2018-12-31
11513804,1,nonfat milk,2017-01-01,2018-12-31
11513804,2,Hershey's Lite,2017-01-01,2018-12-31
11513804,3,skim fat,2017-01-01,2018-12-31
11513805,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11513850,1,Hershey's,2017-01-01,2018-12-31
11513851,1,Hershey's,2017-01-01,2018-12-31
11513852,1,Hershey's,2017-01-01,2018-12-31
11513852,2,2% fat,2017-01-01,2018-12-31
11513853,1,Hershey's,2017-01-01,2018-12-31
11513853,2,1% fat,2017-01-01,2018-12-31
11513854,1,nonfat milk,2017-01-01,2018-12-31
11513854,2,Hershey's,2017-01-01,2018-12-31
11513854,3,skim,2017-01-01,2018-12-31
11513855,1,"almond, coconut, rice, or soy milk",2017-01-01,2018-12-31
11514100,1,"cocoa mix, NFS",2017-01-01,2018-12-31
11514100,2,Swiss Miss,2017-01-01,2018-12-31
11514100,3,Hershey's,2017-01-01,2018-12-31
11514100,4,Nestle's,2017-01-01,2018-12-31
11514100,5,Carnation,2017-01-01,2018-12-31
11514100,6,mint flavored,2017-01-01,2018-12-31
11514110,1,"cocoa mix, NFS",2017-01-01,2018-12-31
11514110,2,Swiss Miss,2017-01-01,2018-12-31
11514110,3,Hershey's,2017-01-01,2018-12-31
11514110,4,Nestle's,2017-01-01,2018-12-31
11514110,5,Carnation,2017-01-01,2018-12-31
11514120,1,"cocoa mix, NFS",2017-01-01,2018-12-31
11514120,2,Swiss Miss,2017-01-01,2018-12-31
11514120,3,Hershey's,2017-01-01,2018-12-31
11514120,4,Nestle's,2017-01-01,2018-12-31
11514120,5,Carnation,2017-01-01,2018-12-31
11514120,6,NS as to type of milk,2017-01-01,2018-12-31
11514120,7,2% fat,2017-01-01,2018-12-31
11514130,1,"cocoa mix, NFS",2017-01-01,2018-12-31
11514130,2,Swiss Miss,2017-01-01,2018-12-31
11514130,3,Hershey's,2017-01-01,2018-12-31
11514130,4,Nestle's,2017-01-01,2018-12-31
11514130,5,Carnation,2017-01-01,2018-12-31
11514130,6,1% fat,2017-01-01,2018-12-31
11514140,1,nonfat milk,2017-01-01,2018-12-31
11514140,2,"cocoa mix, NFS",2017-01-01,2018-12-31
11514140,3,Swiss Miss,2017-01-01,2018-12-31
11514140,4,Hershey's,2017-01-01,2018-12-31
